user_id,total_contests,total_problems_attempted,total_problems_solved,current_rating,dp_attempted,dp_solved,dp_failure_rate,dp_weakness_score,graphs_attempted,graphs_solved,graphs_failure_rate,graphs_weakness_score,greedy_attempted,greedy_solved,greedy_failure_rate,greedy_weakness_score,math_attempted,math_solved,math_failure_rate,math_weakness_score,strings_attempted,strings_solved,strings_failure_rate,strings_weakness_score,datastructures_attempted,datastructures_solved,datastructures_failure_rate,datastructures_weakness_score,binarysearch_attempted,binarysearch_solved,binarysearch_failure_rate,binarysearch_weakness_score,misc_attempted,misc_solved,misc_failure_rate,misc_weakness_score,recent_contests,recent_problems_attempted,recent_problems_solved,recent_avg_rating,recent_dp_attempted,recent_dp_solved,recent_graphs_attempted,recent_graphs_solved,recent_greedy_attempted,recent_greedy_solved,recent_math_attempted,recent_math_solved,recent_strings_attempted,recent_strings_solved,recent_datastructures_attempted,recent_datastructures_solved,recent_binarysearch_attempted,recent_binarysearch_solved,recent_misc_attempted,recent_misc_solved,target_weakness_score
user_21,29,392,225,1876,43,23,0.11423792592039683,0.5657766199665605,58,13,0.7416869442286655,0.6988458531609044,24,72,0.13935607407282413,0.8349302367992991,3,25,0.5256901823026858,0.1716792858483035,86,36,0.018390676547466733,0.914298806560499,84,41,0.5765164755142536,0.274055220687206,16,36,0.6514203883518642,0.8297418037072016,86,26,0.9000186418481051,0.8738900775625152,7,33,11,1620,6,9,12,0,13,1,10,0,18,4,3,2,10,7,10,3,0.7190459051842455
user_22,38,231,226,2133,97,54,0.6636711653626481,0.936829739324758,68,55,0.21494037859075676,0.031183135061284672,19,61,0.955236312723479,0.15467214088323622,72,25,0.4742373087003696,0.3443837320442332,39,16,0.41279355060675227,0.704925549688953,41,24,0.2464020332391068,0.8191023176741997,43,50,0.2721451372299627,0.5902306668690871,18,43,0.8074302518167612,0.9620987857641177,0,9,24,2320,14,11,15,7,18,7,16,6,4,5,15,5,7,8,17,8,0.6466649191171634
user_23,25,488,25,846,31,9,0.588263756969931,0.9993534995658349,25,6,0.03394597858579884,0.6974202672468399,8,47,0.11528202124728437,0.4217626597305125,92,38,0.4551436850361561,0.5224345760711689,16,13,0.596269878482053,0.23000883728770305,59,44,0.07695320162920916,0.6962887758781398,39,54,0.40448544968185074,0.5724277594334657,3,24,0.737855766906525,0.5201681098787319,9,43,29,2273,2,9,1,13,12,12,17,2,6,13,19,12,16,12,11,8,0.5807572072273277
user_24,43,238,265,1725,24,4,0.7322718071846451,0.003346362042979223,44,13,0.2970028764548822,0.8528218216919013,17,61,0.5891085344708948,0.2772656456967736,52,78,0.42777313373586234,0.3843266471596817,87,67,0.21825388786506417,0.9499611839502253,60,42,0.5885542289732454,0.9823305150800816,62,45,0.600798446442198,0.9037239671752705,97,24,0.7433528228936241,0.06498640948289403,7,19,28,2398,18,12,13,9,10,1,8,0,2,7,5,4,4,5,14,6,0.8837858849634257
user_25,34,19,240,2396,34,49,0.49118634086862656,0.9963357758067243,2,31,0.4633807482156199,0.6229373829351187,88,72,0.8949214412278399,0.8601268164179238,10,55,0.26560004258870606,0.12951492128280417,8,66,0.9556514982297534,0.8621276172654506,8,78,0.6552419806390217,0.5508573706091393,58,78,0.005082139818025966,0.6957142928497502,47,17,0.08104621590764793,0.22018320194981134,4,12,16,1937,7,12,18,9,2,7,7,1,7,10,12,12,0,5,18,7,0.24528553225533456
user_26,47,168,268,1162,44,52,0.6801407717603004,0.6186113782151843,37,59,0.1586051052930737,0.8808707591989284,57,30,0.8258167505647627,0.1288698674734452,52,29,0.9087013092693679,0.001120111480109487,1,77,0.7566358037849347,0.258688330697908,65,12,0.6169269183757422,0.9811861780274235,16,59,0.009072404652724964,0.8186794204998418,69,29,0.01842771873821747,0.4322407838925123,1,27,27,1134,4,12,3,3,3,1,3,10,16,11,16,9,0,5,17,1,0.990148372750647
user_27,46,284,203,2499,98,51,0.7582631959290226,0.02458691645880151,10,32,0.32361021914954125,0.48864319040466575,50,74,0.6832953766065052,0.44590270637674834,45,28,0.9443036349578299,0.10219361969371898,38,14,0.7948095487499294,0.6936822257814886,31,1,0.7728227800168045,0.23005368303143392,74,26,0.8680543225322929,0.9632366534401319,55,20,0.9095245109478184,0.8573600920924986,3,5,18,2276,2,10,0,9,5,14,1,12,2,0,11,1,14,11,15,10,0.9681934279147217
user_28,45,472,144,2428,52,7,0.770921844644052,0.8447832281168877,70,2,0.7967978278640275,0.2941679733434779,23,59,0.9675112636137777,0.18545887467665434,14,24,0.0012318351664258875,0.598327265122427,83,8,0.20052472670033672,0.4915945467414369,62,1,0.7975591006371882,0.31036195892357377,76,71,0.46459859663581016,0.6804566263593252,81,37,0.29166257870930323,0.6949818861265425,0,37,8,2215,10,5,18,7,8,0,11,8,13,14,15,5,19,0,9,7,0.00977084741918366
user_29,32,1,224,1600,76,29,0.033203108791366565,0.07857849715502074,21,65,0.9774663863147858,0.20085908986229417,14,43,0.10456784033440025,0.6364302495436367,66,5,0.5947766373769361,0.616604581862474,94,31,0.29883588633731384,0.9352018152994597,71,49,0.6253046602139478,0.7834227259416147,6,74,0.8948166560605276,0.5475923761537362,57,21,0.45231828451830014,0.643577695196525,8,41,13,1770,17,5,11,6,11,12,12,2,18,6,13,3,12,7,18,11,0.5553635509376312
user_30,17,210,149,1348,95,55,0.9747931621467831,0.6503256863469369,73,34,0.22056112492232327,0.4183997886676527,78,6,0.4626229567393163,0.8682725054083805,30,57,0.742706521199981,0.42549333444807536,3,19,0.5048448818930178,0.5433005233632884,50,35,0.029394445756507293,0.39551516984901525,99,65,0.5977235652558643,0.7929560946056315,38,41,0.9921333163406724,0.283854528608645,2,44,17,2375,14,0,2,9,7,3,15,13,9,11,13,13,1,6,4,4,0.06913278618661944
user_31,40,317,110,813,88,1,0.09526150795462629,0.6521232455304379,88,27,0.25813343270112754,0.6567366645412922,64,39,0.5987139801001076,0.396659776343562,22,46,0.2346740382615511,0.8837096696607526,13,79,0.5197739485560177,0.3370031764312863,93,0,0.4494338352137377,0.5878843711103869,75,0,0.25252778207541926,0.35925074791624556,27,36,0.35673205304000166,0.5335119252996956,0,48,23,2379,14,14,5,11,19,1,13,1,8,14,4,3,0,6,2,5,0.1800104374727235
user_32,4,160,178,2029,11,19,0.9866301229588469,0.9651186964360455,42,49,0.9730977480703464,0.580112229695468,55,42,0.4888465802569202,0.6668642575461043,83,22,0.029973589872677953,0.3079299415911909,79,49,0.20185345212294836,0.6734324333249173,84,0,0.7308294748708763,0.15616384479217393,4,46,0.6926259522261645,0.8381152896481102,89,42,0.6832480282896458,0.4971747640084273,0,25,7,1102,7,0,11,10,7,8,13,3,0,0,18,14,15,13,15,4,0.5771852367117482
user_33,27,449,191,1374,72,32,0.4069079607228706,0.8707534503372591,72,76,0.2886855955306381,0.10910963176574973,97,3,0.6675933855635847,0.8078459419412586,81,12,0.7978136488586345,0.435583314812933,74,0,0.12020905537060844,0.5444890979608495,88,14,0.6302087483291442,0.6098318054986945,14,20,0.3804197042327977,0.5484997216514768,32,48,0.5456868884954734,0.44441945275120154,5,25,10,1666,7,13,13,9,1,13,8,2,7,1,5,11,11,4,1,4,0.24606965879799825
user_34,35,270,42,1743,86,69,0.7468757161358227,0.7154909070992744,42,20,0.1957779856835461,0.00756287497814212,46,14,0.24348229657629927,0.9270345447963066,14,67,0.9344360268055143,0.3516226872396344,33,77,0.48587175918632564,0.25677656772050794,51,26,0.9296058774219892,0.5322602133390402,7,15,0.08962633915494211,0.7176357859086295,1,48,0.9767252386625789,0.8231740155956603,6,30,11,2409,6,12,6,14,16,9,9,7,3,3,3,5,6,5,0,11,0.043412532854819164
user_35,41,46,140,1686,21,20,0.8842064633484078,0.22807977194893247,8,14,0.6109809888509917,0.4110284698067047,41,71,0.7699447002516789,0.5566370579367172,90,36,0.30206050183479505,0.7319580675856345,99,59,0.6714246695306144,0.8095299757684418,18,35,0.14970396795695773,0.423944812913302,68,46,0.2352355848019848,0.8692596246510526,32,20,0.09571455552016173,0.023638586046336396,2,27,6,1983,10,9,8,13,12,12,1,2,6,4,17,2,9,5,6,8,0.6924361513243696
user_36,38,279,187,1101,18,67,0.7243388171287412,0.5783869170064091,38,35,0.08565824959643054,0.8941908746641183,2,72,0.32337156211552076,0.22665640222698802,40,67,0.4424099364806695,0.831863113251422,59,4,0.06993160570943413,0.6401682238281661,7,71,0.6508773690471942,0.5329577865513353,57,2,0.1903248628190678,0.05233887578650831,43,1,0.362944271845992,0.995480490704257,6,29,19,2087,11,9,3,4,12,12,14,8,15,9,15,11,16,11,7,3,0.4748865435062186
user_37,29,236,278,1147,4,64,0.8420332943764213,0.5209579772720422,69,21,0.08912443211601662,0.7552704204968079,32,15,0.5068384318204826,0.1593040206189803,13,35,0.3031283559453286,0.26311256991084286,65,1,0.9369578230310628,0.5538022407123763,74,66,0.3969815170742834,0.44720254050483565,67,54,0.1617642113521096,0.7862759567570945,14,59,0.8514249577450957,0.2085105143573358,0,41,5,1393,12,2,9,13,13,5,2,6,19,13,8,14,2,1,1,2,0.34609972653778553
user_38,19,465,255,1065,24,65,0.13252467274184843,0.8620144822726226,35,13,0.13919802461752984,0.898261627292706,51,2,0.9527975276012943,0.8252007674155681,12,7,0.4782340230480723,0.5061075548467509,78,67,0.07996539435930194,0.7767236304716927,95,12,0.9364491738836606,0.8761051925980425,92,59,0.8514486375512653,0.0003325061204894064,42,1,0.6502010923981534,0.1520248531286481,2,4,18,1577,1,13,10,1,14,8,18,8,2,4,8,11,13,2,6,11,0.618051674287186
user_39,3,102,39,1584,51,51,0.6557236725616563,0.8480158852494014,49,62,0.7920936337605432,0.4047984290851998,98,6,0.52550462196864,0.4816348465348623,70,4,0.011031264428647214,0.4161539981797615,90,20,0.019192276823056686,0.2598132087450342,9,57,0.1896948481746772,0.6189481930077215,12,52,0.8015371118829896,0.9595766443210334,35,59,0.646090123462508,0.4993338349786183,6,25,29,1345,19,11,17,7,2,8,19,12,5,9,9,12,16,8,16,7,0.31540689574801273
user_40,0,129,59,2383,28,9,0.9303188848378237,0.25305843280078455,20,27,0.6372014768082804,0.6593539222057827,58,71,0.22696469436536415,0.8893909161288442,86,44,0.15016900081704165,0.7374337687214856,64,7,0.041672900602384266,0.08479201604580322,42,0,0.07208433599867337,0.0712567277652586,23,16,0.9565013982994801,0.737508359459007,57,30,0.2965355812876552,0.34970322974584955,2,6,18,1339,18,10,4,4,7,9,5,14,15,11,16,14,7,7,8,1,0.6673503980464284
user_41,2,48,291,2205,67,77,0.06925430628585993,0.959826518075929,61,9,0.7987141916545746,0.29282203670096474,1,12,0.5824226582072465,0.7480731794295321,31,31,0.6564786073315027,0.12809574636620003,14,16,0.9280836403260497,0.22461561184385193,24,58,0.550091940458156,0.38865279862984703,21,29,0.928317532848577,0.6759822755863554,50,45,0.012714889986893518,0.9924154004894702,9,31,29,2454,6,0,11,8,14,1,12,13,7,13,7,13,6,6,11,10,0.32005983252098347
user_42,21,234,21,1659,28,12,0.16481481572943713,0.1317287734545619,78,51,0.8177853298569451,0.2135113663106719,22,43,0.7328015447662506,0.5422372054918483,60,55,0.611940505337331,0.10593071255849296,22,28,0.09375692064555663,0.5771727832875501,24,7,0.4615574744197899,0.009331619827093296,0,4,0.8814507796750214,0.27790209724886783,98,63,0.8000709686991595,0.20403563462889884,9,20,13,1030,1,8,15,12,8,3,3,5,9,9,11,0,13,13,1,4,0.3679407513020845
user_43,10,399,242,1814,69,55,0.5020502134884471,0.12471405691139048,3,19,0.7803997761472745,0.21720909769121055,25,36,0.6630420045004922,0.0018798835249106416,20,73,0.6195893374598407,0.3554930104413574,56,44,0.09299063982313216,0.5882022669483905,3,13,0.7234047656122863,0.10413735792028744,57,54,0.7029434409786768,0.05280396046852809,23,33,0.5993689656629339,0.602145644052481,2,48,13,1010,12,11,5,4,3,2,15,12,3,13,16,6,0,1,19,0,0.5982252940637388
user_44,46,458,117,960,16,69,0.6361773647082327,0.785651618080232,90,14,0.40990488969628824,0.8398022856356172,74,8,0.9503127529305917,0.2029363675749022,60,9,0.33451128874193214,0.026196708532064794,93,69,0.5180787662388154,0.29872557358877305,18,41,0.8527280198757112,0.22554132992573261,68,63,0.18610141784627732,0.8026433097957104,73,63,0.4829688720853552,0.13347997241594378,3,38,6,1809,2,0,3,5,8,5,13,11,11,11,19,7,3,4,11,9,0.28218707469320015
user_45,27,390,162,2043,13,9,0.271949726128631,0.7593982624179637,88,76,0.2681390200955134,0.15638180440344795,99,55,0.046500586440065494,0.6196994401994157,56,20,0.5324206822752171,0.41109560260070654,6,69,0.8998333456872725,0.0218233967754895,74,19,0.1279882085335864,0.8821356142820601,20,41,0.8278683753221728,0.7877130155277087,13,56,0.49448113129509297,0.9795508403817569,4,2,22,1783,16,2,18,8,11,8,8,0,17,4,3,14,9,8,6,5,0.5612227882825249
user_46,16,151,60,1372,97,27,0.7228143032084837,0.06766836190000158,85,48,0.5435382173426461,0.08172534574677826,69,64,0.42863054697047576,0.14095962752176927,21,56,0.6690223373291083,0.4622955610006072,50,38,0.5454318694069055,0.062273105881885615,39,37,0.8064036172328395,0.45923987759695806,63,62,0.4972559303146882,0.3397774715618851,20,19,0.5448477590845157,0.7584250178691111,3,21,14,1175,7,4,14,5,19,11,13,10,8,7,16,14,1,8,2,7,0.2824308986865117
user_47,41,499,226,1573,38,51,0.4516968192316827,0.3973813904853165,42,18,0.4410721582507837,0.19560927304451503,11,73,0.09403610443426635,0.35667097414176474,40,35,0.27644169058339607,0.31234910188551357,8,46,0.19584081258691888,0.8969579304235343,81,41,0.44760294032021697,0.5578201919292014,1,6,0.6134731386391763,0.36310073663401043,26,39,0.507051103865441,0.598112629369018,6,7,4,1727,15,10,4,3,5,13,18,8,11,10,13,6,15,0,12,6,0.12243389835894103
user_48,29,268,161,2083,27,58,0.16223340578247936,0.01260751997575904,24,2,0.5273996221226763,0.7193536223691586,33,25,0.07940658464302952,0.7314964903403623,60,8,0.8190635138616561,0.5407937549855444,82,59,0.3143501131837484,0.47116789893281463,46,72,0.3577982653254418,0.4942124472502999,2,75,0.33520804737087273,0.1737615931357438,20,27,0.8259782127080818,0.10063747852353333,4,34,19,1345,8,2,14,1,10,8,15,5,16,4,11,10,14,10,2,0,0.12626474156450274
user_49,15,417,65,1282,39,27,0.6816694824016201,0.16713201147122125,19,0,0.83704112524294,0.27927608845441043,62,66,0.694150573509831,0.5126547531450529,37,14,0.21264437637109612,0.03318935456242622,52,45,0.7592487330608428,0.9036078443467951,16,38,0.8073960303399513,0.059093890078253275,78,5,0.670732311905834,0.56044063098044,90,45,0.4603582712019263,0.86456360952267,7,34,18,2365,13,10,19,0,7,7,13,9,5,6,15,8,18,13,18,2,0.7539619035967839
user_50,8,283,172,2150,77,62,0.5591848068293265,0.6282381104632814,18,46,0.44984220797255925,0.2184431828833071,52,60,0.0683409355322604,0.2633157837532001,8,63,0.5671707799193856,0.2838284470235203,13,74,0.07424087298838644,0.22635149434148594,77,40,0.04814283597835345,0.9028949951919872,7,1,0.6678046832264065,0.5932215701073843,40,54,0.5313165205680591,0.8381521835519244,2,10,13,2385,4,3,4,2,11,0,8,12,8,3,2,0,1,7,0,7,0.5174463517550413
user_51,46,423,75,973,46,14,0.6019234310151316,0.8925232899548461,92,21,0.607089578718754,0.6313075530919887,19,28,0.6396055611776819,0.6764263623383923,91,27,0.23418444681548567,0.7867503351544369,66,65,0.27156876475103986,0.47289713281090484,0,71,0.6341040313763313,0.07093221613377343,24,16,0.03976596498856955,0.6040716770712192,26,7,0.23885666040192766,0.469641774680709,8,28,12,1552,2,7,13,2,15,12,19,7,16,12,5,0,13,0,7,10,0.843924612611724
user_52,32,89,294,1140,48,63,0.5126677259564164,0.29348882320812164,8,36,0.28456230176289754,0.8182066687482475,20,50,0.87986267736116,0.5747795542644152,38,12,0.6754202075470892,0.04485356802356866,10,76,0.929426694473114,0.16520393933785016,39,18,0.41102107526554577,0.9076110025565549,11,60,0.3093727178627821,0.8237903842212947,91,68,0.0015651051914729042,0.636401370183407,6,29,12,1230,16,14,19,1,17,1,3,13,0,14,3,1,4,2,14,11,0.5495836567221436
user_53,48,224,242,1454,40,38,0.41267532608339663,0.646096175005063,73,65,0.8880390643601178,0.5986924023190974,13,50,0.9132869475762367,0.6125734683448192,27,2,0.7239730554660938,0.12055841640369025,1,37,0.829017732545491,0.9912632267336332,1,40,0.422034260127639,0.29504070765415624,64,54,0.5771998867345508,0.04373907230894736,84,61,0.5586423964504253,0.34316735317265823,6,23,24,2117,10,1,3,2,12,6,8,4,5,9,11,1,2,2,11,14,0.759351025752613
